DeviceId,location_name,Latitude,Longitude,Category,AQI,SO2_MAX,SO2_MIN,OZONE_MAX,OZONE_MIN,NO_MAX,NO_MIN,PM10_MAX,PM10_MIN,PM2_MAX,PM2_MIN,NO2_MAX,NO2_MIN,Light,Humidity,AQI_Pollutant,Status,ON_OFF_STATUS,CO2_MIN,CO2_MAX,TEMPRATURE_MIN,TEMPRATURE_MAX,AIR_PRESSURE,SOUND,CO_MIN,CO_MAX,timezoneoffset,UV_MAX,UV_MIN
10b6d0f8-ae93-6622-5d1b-76af4bebc11e,Bopodi Square_65,18.572797,73.836808,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,330,,
64131670-4db5-8b9b-6a81-7ddc23f176fd,Rajeshwari Shahu Bus stand_19,18.498504,73.857933,Moderate,109.15,46.464,25.014,0,0,0,0,24.333,0.966904,20.875,3.525,23.441,15.032,1384.46,85.13,SO2,ON,,,,,,,,,,330,,
0ede317b-62b5-86e2-de37-604271f37d73,RTO Square_08,18.529578,73.863395,Moderate,174.8,360.748,93.197,64.529,4.894,0,0,1.88807,0.856597,0,0,98.53,40.534,8569.06,82.9,SO2,ON,,,,,,,,,,330,,
503328c5-a2ac-bfae-fd08-cf2630f51a7b,Shree Krishna Hotel Square_12,18.5652,73.918006,Moderate,172.46,10.728,10.398,50.839,24.165,0,0,42.381,1.62706,34.196,8.581,10.37,10.342,5785.52,82.09,CO,ON,,,,,,,,,,330,,
146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,Golibar Square_11,18.502865,73.878603,Moderate,124.28,288.486,4.079,71.39,31.343,0,0,42.318,1.61326,14.772,6.274,75.911,33.517,8760.24,85.17,NO2,ON,,,,,,,,,,330,,
8011a665-ea2b-dd08-4c49-667bb2256545,Datta Mandir Square_20,18.565271,73.913848,Moderate,164.21,22.571,0.578,15.179,2.78,0,0,50.762,5.393,12.576,4.369,63.208,35.545,0,0,NO2,ON,,,,,,,,,,330,,
b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,Gunjan Square_18,18.5461542,73.8891134,Moderate,181.8,382.287,104.857,0,0,0,0,13.41,1.17463,0,8.864,77.368,44.228,9457.23,81.73,SO2,ON,,,,,,,,,,330,,
12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,Lullanagar Square_14,18.485643,73.888922,Moderate,132.57,200.678,39.539,68.756,26.914,0,0,26.312,0.753436,12.792,6.089,0,0,5240.3,84.8,SO2,ON,,,,,,,,,,330,,
c37c6979-6802-4a1c-c852-609b7706f5ba,Market Yard Junction_02,18.489599,73.857307,nullvalue,0.0001,,,,,,,,,,,,,,,,OFF,,,,,,,,,,330,,
7bd8af4f-99bf-2f69-996c-5fde241fb29a,Karve Statue Square_05,18.501802,73.815409,Very Poor,1100,506.844,137.468,70.273,21.235,0,0,50.576,0.0171253,18.432,7.549,80.649,32.105,208.92,86.26,SO2,ON,,,,,,,,,,330,,
02f7e7ee-29d6-c1c1-4d98-8f74981d9683,ABC Farm House Junction_04,18.539107,73.903987,Very Poor,359.52,337.693,58.578,0,0,0,0,19.839,1.21626,0,7.965,91.427,22.683,9109.18,81.08,OZONE,ON,,,,,,,,,,330,,
b075ef08-a5cc-e920-6be3-f57e5b7731c5,V.S Khandekar Square_17,18.520432,73.830386,nullvalue,0.0001,,,,,,,,,,,,,,,,OFF,,,,,,,,,,330,,
2922b6ff-0271-cde4-9378-bd00f1a6ea3c,Swargate ST Stand_13,18.498686,73.858028,nullvalue,0.0001,,,,,,,,,,,,,,,,OFF,,,,,,,,,,330,,
388977ff-210f-b2f4-19e6-c619669708a2,Seven Loves Square_16,18.5013059,73.8693985,Moderate,168.64,437.889,41.107,64.665,17.165,0,0,165.787,1.43502,27.313,5.195,84.794,37.344,2827.93,80.54,SO2,ON,,,,,,,,,,330,,
05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,Dr Baba Saheb Ambedkar Sethu Junction_03,18.5412778,73.8843632,nullvalue,0.0001,,,,,,,,,,,,,,,,OFF,,,,,,,,,,330,,
a1198ebc-db62-1c31-28c6-09d51441f153,Sinhgad Road Junction_09,18.500949,73.845483,nullvalue,0.0001,,,,,,,,,,,,,,,,OFF,,,,,,,,,,330,,
67ae0343-59e4-e88f-bc4a-f55e7789df44,Goodluck Square (Cafe)_23,18.517439,73.841424,nullvalue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ON,,,,,,,,,,330,,
21ece4ba-0dcf-843a-16e0-35e0082277dd,Chandani Square_25,18.507789,73.783532,nullvalue,0.0001,,,,,,,,,,,,,,,,OFF,,,,,,,,,,330,,
b3ec32ff-fa7d-64fa-c0af-272e25d314e9,Pune Railway Station_28,18.528311,73.874537,Moderate,120.88,134.546,36.661,33.97,5.666,0,0,46.306,1.38887,17.844,8.826,57.046,25.243,4841.25,77.91,SO2,ON,,,,,,,,,,330,,
145bacfd-da11-d35f-ed80-ce7475d9bf3d,Vishrantwadi junction_06,18.5724037,73.8785177,nullvalue,0.0001,,,,,,,,,,,,,,,,OFF,,,,,,,,,,330,,
f36b4669-628b-ad93-9970-f9d424afbf75,Blue Diamond Square (Hotel Taj)_10,18.538425,73.88559,nullvalue,0.0001,,,,,,,,,,,,,,,,OFF,,,,,,,,,,330,,
0541f9dd-2787-d791-9340-c30da7750de7,Golf Club Junction_27,18.5526023,73.8893219,nullvalue,0.0001,,,,,,,,,,,,,,,,OFF,,,,,,,,,,330,,
c7b8f786-2f89-116f-d98d-8c54bfc7caaf,PMPML Bus Depot Deccan_15,18.516163,73.842727,Poor,294.81,707.06,144.355,72.705,2.236,0,0,1.45297,0.807677,0,0,102.976,39.892,3125.15,81.13,CO,ON,,,,,,,,,,330,,
